accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed
2,1.0,1.0,40.0,15.0,0.0,0.0,1,14.18042262965433,10.0,t,Private room,Real Bed,1,f,f,moderate,True,False,True,True,False
2,1.0,1.0,60.0,30.0,0.0,0.0,1,3.754898512592127,56.57514886842589,t,Entire home/apt,Real Bed,3,t,f,flexible,True,True,False,False,False
2,1.0,1.0,35.0,12.0,450.0,10.0,1,4.6182264320240405,14.0,t,Private room,Real Bed,3,f,f,strict_14_with_grace_period,True,True,False,True,True
2,1.0,1.0,59.0,10.0,0.0,0.0,1,3.2600099914780336,53.705143886684844,t,Private room,Real Bed,3,f,f,moderate,True,False,False,True,False
3,1.0,1.0,52.0,0.0,0.0,0.0,1,0.8227830802491918,10.0,t,Entire home/apt,Real Bed,180,t,f,flexible,False,True,True,False,False
4,1.0,1.0,60.0,20.0,300.0,0.0,1,2.242331638482661,61.03210155540065,t,Entire home/apt,Real Bed,4,f,f,flexible,True,False,False,False,False
1,1.0,1.0,30.0,0.0,0.0,0.0,1,7.29642975138196,12.0,t,Private room,Real Bed,3,t,f,moderate,True,True,False,False,False
1,1.0,1.0,30.0,0.0,0.0,0.0,1,4.176589566414855,40.70927322893914,t,Private room,Real Bed,1,t,f,flexible,False,False,False,True,False
4,1.0,1.0,150.0,15.0,0.0,0.0,1,1.0972875928644867,88.14928806023588,t,Private room,Real Bed,3,f,f,flexible,True,False,False,False,False
2,1.0,1.0,30.0,15.0,0.0,30.0,1,7.214388144579713,57.80395327581172,t,Shared room,Real Bed,1,f,f,flexible,False,False,False,False,True
6,1.0,3.0,140.0,70.0,0.0,30.0,4,1.4087285937248275,109.65970069473191,t,Entire home/apt,Real Bed,2,f,f,strict_14_with_grace_period,True,True,True,True,False
2,1.0,1.0,68.0,20.0,0.0,10.0,1,3.3307045614405117,62.643611025804894,t,Private room,Real Bed,2,f,f,strict_14_with_grace_period,False,True,True,False,True
4,1.0,2.0,70.0,15.0,600.0,15.0,2,6.212413995208572,11.0,t,Entire home/apt,Real Bed,3,t,f,moderate,False,False,True,False,False
